42017030	ταὐτὰ ἔσται ᾗ ἡμέρᾳ υἱὸς τοῦ Υἱὸς
42018004	δὲ
42018011	πρὸς ἑαυτὸν
42018022	τοῖς
42018024	περίλυπον γενόμενον
42018028	πάντα καὶ
42019030	καὶ
42019036	ἑαυτῶν
42019038	ὁ
42019040	ὅτι
42019046	καὶ ἔσται
42020009	τις
42020026	ῥήματος ἐναντίον τοῦ αὐτοῦ
42020027	λέγοντες
42020033	οὖν ἡ γυνὴ
42020042	τῷ Κυρίῳ κύριος
42020044	αὐτοῦ
42021011	ἀπ οὐρανοῦ ἀπ’
42021015	πάντες
42021023	δὲ
42022007	ἐν
42022018	ὅτι
42022050	ἀρχιερέως καὶ ἀφεῖλεν τὸ τὸν
42023034	διαμεριζόμενοι δὲ Ἰησοῦς ἔλεγεν πάτερ ἄφες ἱμάτια ἔβαλον κλῆρον
42023042	ἐν
42023050	καὶ
42024032	ἐν ἡμῖν
42024046	καὶ εἶπεν αὐτοῖς
42024049	ἰδοὺ
42024050	ἔξω
43001019	πρὸς αὐτὸν
43002012	αὐτοῦ
43003004	ὁ
43003028	ὅτι
43004051	καὶ ἀπήγγειλαν
43004053	ἐν
43005005	καὶ
43005017	Ἰησοῦς
43006007	ὁ
43006023	πλοῖα
43006039	ἐν
43006040	ἐν
43006052	αὐτοῦ
43007008	οὔπω
43007016	ὁ
43007028	ὁ
43007034	με
43007036	με
43007050	τὸ
43007052	ἐκ τῆς Γαλιλαίας
43008003	εἰλημμένην γυναῖκα ἁμαρτίᾳ
43008004	ἐκπειράζοντες αὐτὸν ἱερεῖς ἵνα ἔχωσιν κατηγορίαν αὐτοῦ
43008005	Μωσῆς δὲ νῦν Μωϋσῆς ἐνετείλατο ἐκέλευσεν
43008006	ἵνα ἔχωσιν κατηγορεῖν αὐτοῦ κύψας δακτύλῳ κατέγραφεν εἰς τὴν Ὁ Ἰησοῦς κάτω
43008007	αὐτόν
43008008	δακτύλῳ κατέγραφεν εἰς τὴν ἔγραφεν
43008009	Ἕκαστος δέ ὥστε πάντας ἐξελθεῖν ἀκούσαντες εἷς καθ’ Ἰουδαίων
43008010	τῇ
43008011	αὐτῷ εἶπεν δὲ καὶ Κἀκείνη ὕπαγε
43008052	οὖν
43009010	οὖν
43009016	δὲ
43009041	ὁ
43010007	αὐτοῖς
43012004	ἐκ
43013018	μετ
43013023	δὲ
43013025	ἐπιπεσών
43013026	ἐπιδώσω λαμβάνει καὶ
43013032	ἐν αὐτῷ θεὸς καὶ εὐθὺς
43014010	λαλῶ
43014022	καὶ
43015010	ἐντολὰς τοῦ τὰς
43016018	ὃ λέγει
43016019	ὁ
43016023	ἐν τῷ ὀνόματί μου
43018004	καὶ
43018016	ὅς ἦν γνωστὸς τοῦ
43018017	καὶ σὺ ἐκ μαθητῶν εἶ τοῦ Πέτρῳ ἡ μὴ
43018038	εὑρίσκω ἐν αὐτῷ
43019004	Καὶ οὐδεμίαν εὑρίσκω
43019015	οἱ δὲ οὖν ἐκεῖνοι
43019016	δὲ
43019026	ἰδοὺ
43019030	ὁ
43020021	ὁ Ἰησοῦς
43021018	σε
44001011	βλέποντες
44001014	σὺν
44001015	ὡς
44002005	ἐν
44002007	πάντες
44002020	ἢ
44002034	ὁ
44003006	ἔγειρε καὶ
44003013	ὁ
44003019	πρὸς
44004004	ὁ
44004018	τὸ
44004025	τί ἵνα
44004032	πάντα
44004037	παρὰ
44005012	πάντες
44005028	οὐ
44006013	τούτου
44007010	ἐφ’
44007013	τοῦ
44007019	ἡμῶν
44007022	ἐν
44007025	αὐτοῦ
44007026	τί ἱνα
44008033	αὐτοῦ
44009012	τὰς
44009021	ἐν
44009037	ἔθηκαν
44010039	ἐν
44010040	ἐν
44011022	διελθεῖν
44012003	αἱ
44012017	αὐτοῖς
44013011	δὲ
44013014	ἐλθόντες
44013020	τοῦ
44013033	αὐτῶν
44013052	δὲ
44014003	ἐπὶ
44014014	ἑαυτῶν
44014021	εἰς
44015004	Ἱεροσόλυμα ὑπὸ
44015006	δὲ
44015016	κατεστραμμένα
44016009	τῆς
44016012	μερίδος
44016028	μεγάλῃ
44016029	τῷ
44016036	τούτους
44017003	ὁ
44017022	ὁ
44018023	στηρίζων
44019006	τὰς
