410080010011|ἐν|410080010041|prep|Cat="prep"|Id="7"|morphId="410080010011"|Unicode="ἐν"|Lemma="ἐν"|Lang="G"|StrongNumber="G17220"|Morph="P,,,,,D,,,"|Case="Dative"|English="in"
410080010021|ἐκείναις|410080010041|np|Cat="det"|Id="10"|morphId="410080010021"|Unicode="ἐκείναις"|Lemma="ἐκεῖνος"|Lang="G"|StrongNumber="G15650"|Morph="ED,,,,DFP,"|Type="Demonstrative"|Case="Dative"|Gender="Feminine"|Number="Plural"|English="those"
410080010031|ταῖς|410080010041|det|Cat="det"|Id="12"|morphId="410080010031"|Unicode="ταῖς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,DFP,"|Type="Article"|Case="Dative"|Gender="Feminine"|Number="Plural"
410080010041|ἡμέραις|410080010081|ADV|Cat="noun"|Id="14"|morphId="410080010041"|Unicode="ἡμέραις"|Lemma="ἡμέρα"|Lang="G"|StrongNumber="G22500"|Morph="N,,,,,DFP,"|Case="Dative"|Gender="Feminine"|Number="Plural"|English="days"
410080010051|πάλιν,|410080010081|ADV|Cat="adv"|Id="17"|morphId="410080010051"|Unicode="πάλιν,"|Lemma="πάλιν"|Lang="G"|StrongNumber="G38250"|Morph="D,,,,,,,,,"|English="again"
410080010061|πολλοῦ|410080010071|adjp|Cat="det"|Id="22"|morphId="410080010061"|Unicode="πολλοῦ"|Lemma="πολλός"|Lang="G"|StrongNumber="G41830"|Morph="EQ,,,,GMS,"|Type="Quantifier"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="large"
410080010071|ὄχλου|410080010081|S|Cat="noun"|Id="24"|morphId="410080010071"|Unicode="ὄχλου"|Lemma="ὄχλος"|Lang="G"|StrongNumber="G37930"|Morph="N,,,,,GMS,"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="a ~ crowd"
410080010081|ὄντος,|410080010181|CL|Cat="verb"|Id="27"|morphId="410080010081"|Unicode="ὄντος,"|Lemma="εἰμί"|Lang="G"|StrongNumber="G15100"|Morph="V,PPA,GMS,"|Mood="Participle"|Tense="Present"|Voice="Active"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="there was"
410080010091|καὶ|410080010081|conj|Cat="conj"|Id="28"|morphId="410080010091"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
410080010101|μὴ|410080010111|ADV|Cat="adv"|Id="32"|morphId="410080010101"|Unicode="μὴ"|Lemma="μή"|Lang="G"|StrongNumber="G33610"|Morph="D,,,,,,,,,"|English="not"
410080010111|ἐχόντων|410080010081|CL|Cat="verb"|Id="35"|morphId="410080010111"|Unicode="ἐχόντων"|Lemma="ἔχω"|Lang="G"|StrongNumber="G21920"|Morph="V,PPA,GMP,"|Mood="Participle"|Tense="Present"|Voice="Active"|Case="Genitive"|Gender="Masculine"|Number="Plural"|English="had"
410080010121|τι|410080010131|O|Cat="pron"|Id="41"|morphId="410080010121"|Unicode="τι"|Lemma="τις"|Lang="G"|StrongNumber="G51000"|Morph="RT,,,,ANS,"|Type="Interrogative"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="anything"
410080010131|φάγωσιν,|410080010111|O|Cat="verb"|Id="44"|morphId="410080010131"|Unicode="φάγωσιν,"|Lemma="ἐσθίω"|Lang="G"|StrongNumber="G20680"|Morph="V,SAA3,,P,"|Mood="Subjunctive"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Plural"|English="they ~ eat"
410080010141|προσκαλεσάμενος|410080010181|ADV|Cat="verb"|Id="50"|morphId="410080010141"|Unicode="προσκαλεσάμενος"|Lemma="προσκαλέω"|Lang="G"|StrongNumber="G43410"|Morph="V,PAM,NMS,"|Mood="Participle"|Tense="Aorist"|Voice="Middle"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="called"
410080010151|τοὺς|410080010161|det|Cat="det"|Id="53"|morphId="410080010151"|Unicode="τοὺς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMP,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Plural"|English="the"
410080010161|μαθητὰς|410080010141|O|Cat="noun"|Id="56"|morphId="410080010161"|Unicode="μαθητὰς"|Lemma="μαθητής"|Lang="G"|StrongNumber="G31010"|Morph="N,,,,,AMP,"|Case="Accusative"|Gender="Masculine"|Number="Plural"|English="disciples"
410080010171|αὐτοῦ,|410080010161|np|Cat="pron"|Id="58"|morphId="410080010171"|Unicode="αὐτοῦ,"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3GMS,"|Type="Personal"|Person="Third"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="of his"
410080010181|λέγει|None|CL|Cat="verb"|Id="61"|morphId="410080010181"|Unicode="λέγει"|Lemma="λέγω"|Lang="G"|StrongNumber="G30040"|Morph="V,IPA3,,S,"|Mood="Indicative"|Tense="Present"|Voice="Active"|Person="Third"|Number="Singular"|English="he ~ said"
410080010191|αὐτοῖς,|410080010181|IO|Cat="pron"|Id="64"|morphId="410080010191"|Unicode="αὐτοῖς,"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3DMP,"|Type="Personal"|Person="Third"|Case="Dative"|Gender="Masculine"|Number="Plural"|English="to them"
410080020011|σπλαγχνίζομαι|None|CL|Cat="verb"|Id="6"|morphId="410080020011"|Unicode="σπλαγχνίζομαι"|Lemma="σπλαγχνίζω"|Lang="G"|StrongNumber="G46970"|Morph="V,IPM1,,S,"|Mood="Indicative"|Tense="Present"|Voice="Middle"|Person="First"|Number="Singular"|English="I have compassion"
410080020021|ἐπὶ|410080020041|prep|Cat="prep"|Id="9"|morphId="410080020021"|Unicode="ἐπὶ"|Lemma="ἐπί"|Lang="G"|StrongNumber="G19090"|Morph="P,,,,,A,,,"|Case="Accusative"|English="on"
410080020031|τὸν|410080020041|det|Cat="det"|Id="11"|morphId="410080020031"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="the"
