420220010021|δὲ|420220010011|conj|Cat="conj"|Id="3"|morphId="420220010021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="now"
420220010011|ἤγγιζεν|None|CL|Cat="verb"|Id="7"|morphId="420220010011"|Unicode="ἤγγιζεν"|Lemma="ἐγγίζω"|Lang="G"|StrongNumber="G14480"|Morph="V,IIA3,,S,"|Mood="Indicative"|Tense="Imperfect"|Voice="Active"|Person="Third"|Number="Singular"|English="was approaching"
420220010031|ἡ|420220010041|det|Cat="det"|Id="11"|morphId="420220010031"|Unicode="ἡ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NFS,"|Type="Article"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="the"
420220010041|ἑορτὴ|420220010011|S|Cat="noun"|Id="14"|morphId="420220010041"|Unicode="ἑορτὴ"|Lemma="ἑορτή"|Lang="G"|StrongNumber="G18590"|Morph="N,,,,,NFS,"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="feast"
420220010051|τῶν|420220010061|det|Cat="det"|Id="16"|morphId="420220010051"|Unicode="τῶν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GNP,"|Type="Article"|Case="Genitive"|Gender="Neuter"|Number="Plural"
420220010061|Ἀζύμων,|420220010041|np|Cat="noun"|Id="18"|morphId="420220010061"|Unicode="Ἀζύμων,"|Lemma="ἄζυμος"|Lang="G"|StrongNumber="G01060"|Morph="NS,,,,GNP,"|Type="Substantive_Adj"|Case="Genitive"|Gender="Neuter"|Number="Plural"|English="of unleavened bread"
420220010071|ἡ|420220010091|det|Cat="pron"|Id="21"|morphId="420220010071"|Unicode="ἡ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RD,,,,NFS,"|Type="Demonstrative"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="the one"
420220010081|λεγομένη|420220010091|VC|Cat="verb"|Id="25"|morphId="420220010081"|Unicode="λεγομένη"|Lemma="λέγω"|Lang="G"|StrongNumber="G30040"|Morph="V,PPP,NFS,"|Mood="Participle"|Tense="Present"|Voice="Passive"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="which is called"
420220010091|Πάσχα.|420220010041|np|Cat="noun"|Id="28"|morphId="420220010091"|Unicode="Πάσχα."|Lemma="Πάσχα"|Lang="G"|StrongNumber="G39570"|Morph="N,,,,,NNSI"|Case="Nominative"|Gender="Neuter"|Number="Singular"|English="passover"
420220020011|καὶ|420220020021|conj|Cat="conj"|Id="3"|morphId="420220020011"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220020021|ἐζήτουν|None|CL|Cat="verb"|Id="8"|morphId="420220020021"|Unicode="ἐζήτουν"|Lemma="ζητέω"|Lang="G"|StrongNumber="G22120"|Morph="V,IIA3,,P,"|Mood="Indicative"|Tense="Imperfect"|Voice="Active"|Person="Third"|Number="Plural"|English="were seeking"
420220020031|οἱ|420220020041|det|Cat="det"|Id="12"|morphId="420220020031"|Unicode="οἱ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NMP,"|Type="Article"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="the"
420220020041|ἀρχιερεῖς|420220020021|S|Cat="noun"|Id="14"|morphId="420220020041"|Unicode="ἀρχιερεῖς"|Lemma="ἀρχιερεύς"|Lang="G"|StrongNumber="G07490"|Morph="N,,,,,NMP,"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="chief priests"
420220020051|καὶ|420220020041|conj|Cat="conj"|Id="15"|morphId="420220020051"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420220020061|οἱ|420220020071|det|Cat="det"|Id="17"|morphId="420220020061"|Unicode="οἱ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NMP,"|Type="Article"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="the"
420220020071|γραμματεῖς,|420220020041|np|Cat="noun"|Id="19"|morphId="420220020071"|Unicode="γραμματεῖς,"|Lemma="γραμματεύς"|Lang="G"|StrongNumber="G11220"|Morph="N,,,,,NMP,"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="scribes"
420220020081|τὸ|420220020101|det|Cat="pron"|Id="23"|morphId="420220020081"|Unicode="τὸ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RD,,,,ANS,"|Type="Demonstrative"|Case="Accusative"|Gender="Neuter"|Number="Singular"
420220020091|πῶς|420220020101|ADV|Cat="adv"|Id="27"|morphId="420220020091"|Unicode="πῶς"|Lemma="πῶς"|Lang="G"|StrongNumber="G44590"|Morph="D,,,,,,,,,"|English="how"
