580030010011|ὅθεν,|580030010071|conj|Cat="conj"|Id="3"|morphId="580030010011"|Unicode="ὅθεν,"|Lemma="ὅθεν"|Lang="G"|StrongNumber="G36060"|Morph="CS,,,,,,,,"|Type="Subordinating"|English="therefore"
580030010021|ἀδελφοὶ|580030010071|CL|Cat="noun"|Id="9"|morphId="580030010021"|Unicode="ἀδελφοὶ"|Lemma="ἀδελφός"|Lang="G"|StrongNumber="G00800"|Morph="N,,,,,VMP,"|Case="Vocative"|Gender="Masculine"|Number="Plural"|English="brothers"
580030010031|ἅγιοι|580030010021|adjp|Cat="adj"|Id="11"|morphId="580030010031"|Unicode="ἅγιοι"|Lemma="ἅγιος"|Lang="G"|StrongNumber="G00400"|Morph="AA,,,,VMP,"|Type="Ascriptive"|Case="Vocative"|Gender="Masculine"|Number="Plural"|English="holy"
580030010041|κλήσεως|580030010061|np|Cat="noun"|Id="15"|morphId="580030010041"|Unicode="κλήσεως"|Lemma="κλῆσις"|Lang="G"|StrongNumber="G28210"|Morph="N,,,,,GFS,"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="in a ~ calling"
580030010051|ἐπουρανίου,|580030010041|adjp|Cat="adj"|Id="17"|morphId="580030010051"|Unicode="ἐπουρανίου,"|Lemma="ἐπουράνιος"|Lang="G"|StrongNumber="G20320"|Morph="AA,,,,GFS,"|Type="Ascriptive"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="heavenly"
580030010061|μέτοχοι,|580030010021|np|Cat="noun"|Id="19"|morphId="580030010061"|Unicode="μέτοχοι,"|Lemma="μέτοχος"|Lang="G"|StrongNumber="G33530"|Morph="NS,,,,VMP,"|Type="Substantive_Adj"|Case="Vocative"|Gender="Masculine"|Number="Plural"|English="partakers"
580030010071|κατανοήσατε|None|CL|Cat="verb"|Id="23"|morphId="580030010071"|Unicode="κατανοήσατε"|Lemma="κατανοέω"|Lang="G"|StrongNumber="G26570"|Morph="V,MAA2,,P,"|Mood="Imperative"|Tense="Aorist"|Voice="Active"|Person="Second"|Number="Plural"|English="consider"
580030010081|τὸν|580030010091|det|Cat="det"|Id="27"|morphId="580030010081"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="the"
580030010091|ἀπόστολον|580030010071|O|Cat="noun"|Id="31"|morphId="580030010091"|Unicode="ἀπόστολον"|Lemma="ἀπόστολος"|Lang="G"|StrongNumber="G06520"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="apostle"
580030010101|καὶ|580030010091|conj|Cat="conj"|Id="32"|morphId="580030010101"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
580030010111|ἀρχιερέα|580030010091|np|Cat="noun"|Id="34"|morphId="580030010111"|Unicode="ἀρχιερέα"|Lemma="ἀρχιερεύς"|Lang="G"|StrongNumber="G07490"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="high priest"
580030010121|τῆς|580030010131|det|Cat="det"|Id="36"|morphId="580030010121"|Unicode="τῆς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GFS,"|Type="Article"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="of the"
