420060010021|δὲ|420060010101|conj|Cat="conj"|Id="3"|morphId="420060010021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="now"
420060010011|ἐγένετο|420060010101|CL|Cat="verb"|Id="8"|morphId="420060010011"|Unicode="ἐγένετο"|Lemma="γίνομαι"|Lang="G"|StrongNumber="G10960"|Morph="V,IAM3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Middle"|Person="Third"|Number="Singular"|English="it happened"
420060010031|ἐν|420060010041|prep|Cat="prep"|Id="14"|morphId="420060010031"|Unicode="ἐν"|Lemma="ἐν"|Lang="G"|StrongNumber="G17220"|Morph="P,,,,,D,,,"|Case="Dative"|English="on"
420060010041|Σαββάτῳ|420060010051|ADV|Cat="noun"|Id="16"|morphId="420060010041"|Unicode="Σαββάτῳ"|Lemma="σάββατον"|Lang="G"|StrongNumber="G45210"|Morph="N,,,,,DNS,"|Case="Dative"|Gender="Neuter"|Number="Singular"|English="a sabbath"
420060010051|διαπορεύεσθαι|420060010011|S|Cat="verb"|Id="19"|morphId="420060010051"|Unicode="διαπορεύεσθαι"|Lemma="διαπορεύω"|Lang="G"|StrongNumber="G12790"|Morph="V,NPM,,,,,"|Mood="Infinitive"|Tense="Present"|Voice="Middle"|English="was going"
420060010061|αὐτὸν|420060010051|S|Cat="pron"|Id="22"|morphId="420060010061"|Unicode="αὐτὸν"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3AMS,"|Type="Personal"|Person="Third"|Case="Accusative"|Gender="Masculine"|Number="Singular"
420060010071|διὰ|420060010081|prep|Cat="prep"|Id="25"|morphId="420060010071"|Unicode="διὰ"|Lemma="διά"|Lang="G"|StrongNumber="G12230"|Morph="P,,,,,G,,,"|Case="Genitive"|English="through"
420060010081|σπορίμων,|420060010051|ADV|Cat="noun"|Id="27"|morphId="420060010081"|Unicode="σπορίμων,"|Lemma="σπόριμος"|Lang="G"|StrongNumber="G47020"|Morph="NS,,,,GNP,"|Type="Substantive_Adj"|Case="Genitive"|Gender="Neuter"|Number="Plural"|English="grainfields"
420060010091|καὶ|420060010101|conj|Cat="conj"|Id="28"|morphId="420060010091"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420060010101|ἔτιλλον|None|CL|Cat="verb"|Id="33"|morphId="420060010101"|Unicode="ἔτιλλον"|Lemma="τίλλω"|Lang="G"|StrongNumber="G50890"|Morph="V,IIA3,,P,"|Mood="Indicative"|Tense="Imperfect"|Voice="Active"|Person="Third"|Number="Plural"|English="plucked"
420060010141|καὶ|420060010101|conj|Cat="conj"|Id="34"|morphId="420060010141"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
420060010151|ἤσθιον|420060010101|vp|Cat="verb"|Id="36"|morphId="420060010151"|Unicode="ἤσθιον"|Lemma="ἐσθίω"|Lang="G"|StrongNumber="G20680"|Morph="V,IIA3,,P,"|Mood="Indicative"|Tense="Imperfect"|Voice="Active"|Person="Third"|Number="Plural"|English="ate"
420060010111|οἱ|420060010121|det|Cat="det"|Id="39"|morphId="420060010111"|Unicode="οἱ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NMP,"|Type="Article"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="the"
420060010121|μαθηταὶ|420060010101|S|Cat="noun"|Id="42"|morphId="420060010121"|Unicode="μαθηταὶ"|Lemma="μαθητής"|Lang="G"|StrongNumber="G31010"|Morph="N,,,,,NMP,"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="disciples"
420060010131|αὐτοῦ,|420060010121|np|Cat="pron"|Id="44"|morphId="420060010131"|Unicode="αὐτοῦ,"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3GMS,"|Type="Personal"|Person="Third"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="of him"
