470070010021|οὖν|470070010071|conj|Cat="conj"|Id="3"|morphId="470070010021"|Unicode="οὖν"|Lemma="οὖν"|Lang="G"|StrongNumber="G37670"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="therefore"
470070010061|ἀγαπητοί,|470070010071|CL|Cat="noun"|Id="7"|morphId="470070010061"|Unicode="ἀγαπητοί,"|Lemma="ἀγαπητός"|Lang="G"|StrongNumber="G00270"|Morph="NS,,,,VMP,"|Type="Substantive_Adj"|Case="Vocative"|Gender="Masculine"|Number="Plural"|English="beloved"
470070010031|ἔχοντες|470070010071|ADV|Cat="verb"|Id="13"|morphId="470070010031"|Unicode="ἔχοντες"|Lemma="ἔχω"|Lang="G"|StrongNumber="G21920"|Morph="V,PPA,NMP,"|Mood="Participle"|Tense="Present"|Voice="Active"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="since ~ have"
470070010011|ταύτας|470070010051|np|Cat="pron"|Id="17"|morphId="470070010011"|Unicode="ταύτας"|Lemma="οὗτος"|Lang="G"|StrongNumber="G37780"|Morph="RD,,,,AFP,"|Type="Demonstrative"|Case="Accusative"|Gender="Feminine"|Number="Plural"|English="these"
470070010041|τὰς|470070010051|det|Cat="det"|Id="19"|morphId="470070010041"|Unicode="τὰς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AFP,"|Type="Article"|Case="Accusative"|Gender="Feminine"|Number="Plural"
470070010051|ἐπαγγελίας,|470070010031|O|Cat="noun"|Id="21"|morphId="470070010051"|Unicode="ἐπαγγελίας,"|Lemma="ἐπαγγελία"|Lang="G"|StrongNumber="G18600"|Morph="N,,,,,AFP,"|Case="Accusative"|Gender="Feminine"|Number="Plural"|English="promises"
470070010071|καθαρίσωμεν|None|CL|Cat="verb"|Id="24"|morphId="470070010071"|Unicode="καθαρίσωμεν"|Lemma="καθαρίζω"|Lang="G"|StrongNumber="G25110"|Morph="V,SAA1,,P,"|Mood="Subjunctive"|Tense="Aorist"|Voice="Active"|Person="First"|Number="Plural"|English="let us cleanse"
470070010081|ἑαυτοὺς|470070010071|O|Cat="pron"|Id="27"|morphId="470070010081"|Unicode="ἑαυτοὺς"|Lemma="ἑαυτοῦ"|Lang="G"|StrongNumber="G14380"|Morph="RE,,,1AMP,"|Type="Reflexive"|Person="First"|Case="Accusative"|Gender="Masculine"|Number="Plural"|English="ourselves"
470070010091|ἀπὸ|470070010111|prep|Cat="prep"|Id="30"|morphId="470070010091"|Unicode="ἀπὸ"|Lemma="ἀπό"|Lang="G"|StrongNumber="G05750"|Morph="P,,,,,G,,,"|Case="Genitive"|English="from"
470070010101|παντὸς|470070010111|adjp|Cat="det"|Id="34"|morphId="470070010101"|Unicode="παντὸς"|Lemma="πᾶς"|Lang="G"|StrongNumber="G39560"|Morph="EQ,,,,GMS,"|Type="Quantifier"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="every"
470070010111|μολυσμοῦ|470070010071|ADV|Cat="noun"|Id="37"|morphId="470070010111"|Unicode="μολυσμοῦ"|Lemma="μολυσμός"|Lang="G"|StrongNumber="G34360"|Morph="N,,,,,GMS,"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="defilement"
470070010121|σαρκὸς|470070010111|np|Cat="noun"|Id="40"|morphId="470070010121"|Unicode="σαρκὸς"|Lemma="σάρξ"|Lang="G"|StrongNumber="G45610"|Morph="N,,,,,GFS,"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="of body"
470070010131|καὶ|470070010121|conj|Cat="conj"|Id="41"|morphId="470070010131"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
