460110010011|μιμηταί|None|CL|Cat="noun"|Id="7"|morphId="460110010011"|Unicode="μιμηταί"|Lemma="μιμητής"|Lang="G"|StrongNumber="G34020"|Morph="N,,,,,NMP,"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="imitators"
460110010021|μου|460110010011|np|Cat="pron"|Id="9"|morphId="460110010021"|Unicode="μου"|Lemma="ἐγώ"|Lang="G"|StrongNumber="G14730"|Morph="RP,,,1G,S,"|Type="Personal"|Person="First"|Case="Genitive"|Number="Singular"|English="of me"
460110010031|γίνεσθε,|460110010011|VC|Cat="verb"|Id="12"|morphId="460110010031"|Unicode="γίνεσθε,"|Lemma="γίνομαι"|Lang="G"|StrongNumber="G10960"|Morph="V,MPM2,,P,"|Mood="Imperative"|Tense="Present"|Voice="Middle"|Person="Second"|Number="Plural"|English="be"
460110010041|καθὼς|460110010061|conj|Cat="adv"|Id="15"|morphId="460110010041"|Unicode="καθὼς"|Lemma="καθώς"|Lang="G"|StrongNumber="G25310"|Morph="D,,,,,,,,,"|English="as"
460110010051|κἀγὼ|460110010061|S|Cat="pron"|Id="19"|morphId="460110010051"|Unicode="κἀγὼ"|Lemma="κἀγώ"|Lang="G"|StrongNumber="G25040"|Morph="RP,,,1N,S,"|Type="Personal"|Person="First"|Case="Nominative"|Number="Singular"|English="I also am"
460110010061|Χριστοῦ.|460110010011|CL|Cat="noun"|Id="22"|morphId="460110010061"|Unicode="Χριστοῦ."|Lemma="χριστός"|Lang="G"|StrongNumber="G55470"|Morph="N,,,,,GMS,"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="of Christ"
460110020021|δὲ|460110020011|conj|Cat="conj"|Id="3"|morphId="460110020021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="now"
460110020011|ἐπαινῶ|None|CL|Cat="verb"|Id="8"|morphId="460110020011"|Unicode="ἐπαινῶ"|Lemma="ἐπαινέω"|Lang="G"|StrongNumber="G18670"|Morph="V,IPA1,,S,"|Mood="Indicative"|Tense="Present"|Voice="Active"|Person="First"|Number="Singular"|English="I praise"
460110020031|ὑμᾶς,|460110020011|O|Cat="pron"|Id="11"|morphId="460110020031"|Unicode="ὑμᾶς,"|Lemma="σύ"|Lang="G"|StrongNumber="G47710"|Morph="RP,,,2A,P,"|Type="Personal"|Person="Second"|Case="Accusative"|Number="Plural"|English="you"
460110020041|ὅτι|460110020071|conj|Cat="conj"|Id="13"|morphId="460110020041"|Unicode="ὅτι"|Lemma="ὅτι"|Lang="G"|StrongNumber="G37540"|Morph="CS,,,,,,,,"|Type="Subordinating"|English="because"
460110020051|πάντα|460110020071|ADV|Cat="pron"|Id="18"|morphId="460110020051"|Unicode="πάντα"|Lemma="πᾶς"|Lang="G"|StrongNumber="G39560"|Morph="RI,,,,ANP,"|Type="Indefinite"|Case="Accusative"|Gender="Neuter"|Number="Plural"|English="in everything"
460110020061|μου|460110020071|O|Cat="pron"|Id="21"|morphId="460110020061"|Unicode="μου"|Lemma="ἐγώ"|Lang="G"|StrongNumber="G14730"|Morph="RP,,,1G,S,"|Type="Personal"|Person="First"|Case="Genitive"|Number="Singular"|English="me"
460110020071|μέμνησθε,|460110020011|CL|Cat="verb"|Id="24"|morphId="460110020071"|Unicode="μέμνησθε,"|Lemma="μιμνῄσκω"|Lang="G"|StrongNumber="G34030"|Morph="V,IEM2,,P,"|Mood="Indicative"|Tense="Perfect"|Voice="Middle"|Person="Second"|Number="Plural"|English="you remember"
460110020081|καὶ|460110020071|conj|Cat="conj"|Id="25"|morphId="460110020081"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
460110020091|καθὼς|460110020101|conj|Cat="adv"|Id="29"|morphId="460110020091"|Unicode="καθὼς"|Lemma="καθώς"|Lang="G"|StrongNumber="G25310"|Morph="D,,,,,,,,,"|English="just as"
460110020101|παρέδωκα|460110020141|CL|Cat="verb"|Id="33"|morphId="460110020101"|Unicode="παρέδωκα"|Lemma="παραδίδωμι"|Lang="G"|StrongNumber="G38600"|Morph="V,IAA1,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="First"|Number="Singular"|English="I delivered"
