400010020151|καὶ|400010020141|conj|Cat="conj"|Id="42"|morphId="400010020151"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
400010020161|τοὺς|400010020171|det|Cat="det"|Id="44"|morphId="400010020161"|Unicode="τοὺς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMP,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Plural"|English="the"
400010020171|ἀδελφοὺς|400010020141|np|Cat="noun"|Id="47"|morphId="400010020171"|Unicode="ἀδελφοὺς"|Lemma="ἀδελφός"|Lang="G"|StrongNumber="G00800"|Morph="N,,,,,AMP,"|Case="Accusative"|Gender="Masculine"|Number="Plural"|English="brothers"
400010020181|αὐτοῦ,|400010020171|np|Cat="pron"|Id="49"|morphId="400010020181"|Unicode="αὐτοῦ,"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3GMS,"|Type="Personal"|Person="Third"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="of him"
400010030021|δὲ|400010030031|conj|Cat="conj"|Id="3"|morphId="400010030021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
400010030011|Ἰούδας|400010030031|S|Cat="noun"|Id="7"|morphId="400010030011"|Unicode="Ἰούδας"|Lemma="Ἰούδας"|Lang="G"|StrongNumber="G24550"|Morph="N,,,,,NMS,"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="Judah"
400010030031|ἐγέννησεν|None|CL|Cat="verb"|Id="10"|morphId="400010030031"|Unicode="ἐγέννησεν"|Lemma="γεννάω"|Lang="G"|StrongNumber="G10800"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="father"
400010030041|τὸν|400010030051|det|Cat="det"|Id="14"|morphId="400010030041"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"
400010030051|Φαρὲς|400010030031|O|Cat="noun"|Id="16"|morphId="400010030051"|Unicode="Φαρὲς"|Lemma="Φαρές"|Lang="G"|StrongNumber="G53290"|Morph="N,,,,,AMSI"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Perez"
400010030061|καὶ|400010030051|conj|Cat="conj"|Id="17"|morphId="400010030061"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
