660210010011|καὶ|660210010021|conj|Cat="conj"|Id="3"|morphId="660210010011"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="then"
660210010021|εἶδον|None|CL|Cat="verb"|Id="8"|morphId="660210010021"|Unicode="εἶδον"|Lemma="ὁράω"|Lang="G"|StrongNumber="G37080"|Morph="V,IAA1,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="First"|Number="Singular"|English="I saw"
660210010031|οὐρανὸν|660210010021|O|Cat="noun"|Id="13"|morphId="660210010031"|Unicode="οὐρανὸν"|Lemma="οὐρανός"|Lang="G"|StrongNumber="G37720"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="a ~ heaven"
660210010041|καινὸν|660210010031|adjp|Cat="adj"|Id="15"|morphId="660210010041"|Unicode="καινὸν"|Lemma="καινός"|Lang="G"|StrongNumber="G25370"|Morph="AA,,,,AMS,"|Type="Ascriptive"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="new"
660210010051|καὶ|660210010031|conj|Cat="conj"|Id="16"|morphId="660210010051"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
660210010061|γῆν|660210010031|np|Cat="noun"|Id="19"|morphId="660210010061"|Unicode="γῆν"|Lemma="γῆ"|Lang="G"|StrongNumber="G10930"|Morph="N,,,,,AFS,"|Case="Accusative"|Gender="Feminine"|Number="Singular"|English="a ~ earth"
660210010071|καινήν;|660210010061|adjp|Cat="adj"|Id="21"|morphId="660210010071"|Unicode="καινήν;"|Lemma="καινός"|Lang="G"|StrongNumber="G25370"|Morph="AA,,,,AFS,"|Type="Ascriptive"|Case="Accusative"|Gender="Feminine"|Number="Singular"|English="new"
660210010091|γὰρ|660210010161|conj|Cat="conj"|Id="23"|morphId="660210010091"|Unicode="γὰρ"|Lemma="γάρ"|Lang="G"|StrongNumber="G10630"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="for"
660210010081|ὁ|660210010111|det|Cat="det"|Id="29"|morphId="660210010081"|Unicode="ὁ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NMS,"|Type="Article"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="the"
660210010101|πρῶτος|660210010111|adjp|Cat="det"|Id="33"|morphId="660210010101"|Unicode="πρῶτος"|Lemma="πρῶτος"|Lang="G"|StrongNumber="G44130"|Morph="EO,,,,NMS,"|Type="Ordinal"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="first"
660210010111|οὐρανὸς|660210010161|S|Cat="noun"|Id="35"|morphId="660210010111"|Unicode="οὐρανὸς"|Lemma="οὐρανός"|Lang="G"|StrongNumber="G37720"|Morph="N,,,,,NMS,"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="heaven"
660210010121|καὶ|660210010111|conj|Cat="conj"|Id="36"|morphId="660210010121"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
660210010131|ἡ|660210010151|det|Cat="det"|Id="38"|morphId="660210010131"|Unicode="ἡ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NFS,"|Type="Article"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="the"
660210010141|πρώτη|660210010151|adjp|Cat="det"|Id="42"|morphId="660210010141"|Unicode="πρώτη"|Lemma="πρῶτος"|Lang="G"|StrongNumber="G44130"|Morph="EO,,,,NFS,"|Type="Ordinal"|Case="Nominative"|Gender="Feminine"|Number="Singular"|English="first"
