Unique Types (6), Instances (337):
1 (26): Multiple glosses found for lemma
2 (281): Multiple glosses found for unicode
3 (1): No matching entry found in glosses, but has English gloss in tree
4 (2): No matching entry found in glosses, but has glosses in tree
5 (1): Unique glosses found for lemma
6 (26): Unique glosses found for unicode

Solution: Multiple glosses found for unicode ἐνετείλατο for UGNT morphId 400150040041	= [commanded|吩咐] [did ~ command|吩咐] [has commanded|吩咐] [has commanded|诫命] [gave instructions|留下遗言]
Solution: Multiple glosses found for unicode εἰσιν for UGNT morphId 400150140041	= [there are|是] [are|是] [are|就是] [are|便是] [are|有] [they are|他们] [are|就是~了] [are|是~了] [it is|就是] [is|是] [are they|他们在] [are there|有] [they were|他们原是] [they were|他们] [are|自己] [are|他们] [there are|有] [are they|他们] [there are|] [are|乃] [are|正是] [were|是] [they were|自己~是] [they are|他们在] [they are|他们原是] [they are|是]
Solution: Multiple glosses found for unicode τι for UGNT morphId 400150320221	= [something|什么事] [something|什么] [something|一件事] [anything|什么] [what|什么] [~anything|什么] [something|之事] [anything|什么东西] [something|事] [|凡] [any|一] [in something|] [|] [I defrauded of anything|甚么] [some|某些] [some|什么] [anything|有什么] [|什么] [something|某些事] [what|的] [something|] [|任何东西] [anything|任何事] [something|一些东西] [any|任何] [any|] [|某一] [some|] [a certain |有一件] [a certain|有一件] [something|或] [anything|] [|事] [something|些事] [anything|都 没有] [a certain|一个] [a certain|] [anything|甚么事] [anything|有甚么] [some|一些] [anything|或] [anything|某物] [anything|别的事] [anything|（任何] [anything|（什么] [whatever|（什么] [anything|（什么事] [something|（的人] [any|（任何] [in anything|（什么] [something|一些]
Solution: Multiple glosses found for unicode Χριστός for UGNT morphId 400160210061	= [Christ|基督] [Christ|有基督]
Solution: Multiple glosses found for unicode ἀναστῇ for UGNT morphId 400170090241	= [had risen|复活] [rises|复活]
Solution: Multiple glosses found for unicode αὐτοῦ for UGNT morphId 400170100061	= [of him|他的] [he|当他] [his|他的] [him|他；] [of him|他] [of him |他的] [him|他] [of him|] [|当他] [of him|其] [|他（指耶稣] [him|摸   他] [he|他（指耶稣）入] [he|他] [of it|它的] [of him|（就是）他自己] [of him|自己（的] [of him|自己的] [him|比他] [him|他？] [of it will be|它的] [it|它的] [of him|自己] [to him|他] [him|他身上] [of it|他的] [him|他的] [it|坛] [it|其上] [|耶稣] [it|它] [here|在这里] [while he|他] [of him be|他的] [of him|耶稣的] [of him|在他] [tomb ~ of him|自己的] [it|其] [of him|雅各的] [of him|约翰的] [of him about|他的] [him|他的事] [to them|他们] [~him|他] [of him and|他的] [of him as|他的] [ he|当他] [him on|他的] [his ~ servant|他] [him|他（的事] [him|他（的] [him|他：] [him|他面前] [of him|他；] [of him|他 的] [of him became|他的] [listen to him|他] [him and|他] [of Him|他的] [of him|它的] [than him|比他] [|他] [he by|他] [his|他] [he still|他] [of him into|他] [of him will be|] [of him rather|他] [of it|它] [him|在他] [his|人  他的] [it|它（这井] [his |他的] [it|（这饼] [it|他呢] [it|他] [as he|他] [him|他呢] [him|一起  他] [to him|他呢] [He|他] [it|它（死亡] [him|对他的] [you will listen to him|他] [he on|他] [of him, and|他] [of him|属他 的] [there|在那里] [of his|] [himself|并且自己] [of him|各人的] [by his|他的] [of him|（属）他的] [same|同一] [of him|他（的] [|自己的] [of it|] [than he|他] [of him|（他的] [of his|他的] [of  him|他] [of Him|他] [of Him|自己的] [Him|他] [himself|自己] [ofin him|他的] [his own|自己] [him|它] [of You|（他的] [of Him|自己] [of them|他的] [same|（同一个] [of him|（主] [some|他的] [offor him|他的] [of his|他] [of it|（本身] [of Him|] [of him|它] [|他的] [of it|他] [this one|它]
Solution: Multiple glosses found for unicode ἔχει for UGNT morphId 400170150121	= [has|有] [has|] [he has|他] [does ~ have|有的] [he has|他~有] [he has|有] [does it have|有] [is|要] [has|得] [he has|他有~附着] [he ~ has|有] [does ~ have|有] [he has|自己~能够] [he will ~ be|主人要~怀有] [he has|他已经有~了] [does it have|是] [has|正要有] [has|是] [he had ~ been|他~有~了] [has|就有] [has|带着] [he is|他已经是] [he has|他~附] [have|有] [he has|他  有] [she has|会有] [has|犯了] [are|有] [he had|他有] [has had|自有] [he has|他有] [do ~ have|有] [he does ~ have|] [has|得~到] [he has|他~受] [holds|就拥有] [has|带有] [has|他~得着] [has|有了] [has|施] [has to do with|含着] [he has|] [she had|有] [he has|自己~有] [has|受]
Solution: Multiple glosses found for unicode ἔστιν for UGNT morphId 400180070091	= [is|有] [is|是] [is|作] [it is|是] [it will ~ be|是] [it is|看为] [he is|神~是] [is|意思是] [he is|他~在] [is|就是] [there is|有] [they have|] [he is|是] [there is|是] [was|在] [does|是] [are|是] [is it|是] [is|他~是~了] [have|有] [there are|有] [it is|现在~是] [is|在] [it is|这~是] [does ~ belong to|是] [is|是说] [have|原是] [would ~ make|] [is it|] [there is|] [be|为] [he is|他在] [is|] [it is|能] [he exists|神存在] [is|在~了] [is|为] [is|现今~在] [was|有了]
Solution: Multiple glosses found for unicode αὐτῷ for UGNT morphId 400180240071	= [to him|向他] [him|对他] [him|他] [to him|他] [to him|给他] [to him|] [to him|对他] [to him|於他] [to him|他呢] [he|耶稣] [him|见他] [him|] [for him|他] [him|（耶稣] [with him|和他] [with him|他] [him|而] [it|它] [for him|对他] [it|这只] [him|他？] [him|他的] [him|就近耶稣] [to him|就他] [him|就他] [in him|他] [it|於它] [it|其内] [to him|去见他] [to him|他们] [him|给他] [for him|给他] [for him|於他] [to him|耶稣] [to him|他面前] [him|他那里] [to him|他：] [for him|为他] [him|他身上] [against him|他] [to him a man who was|来见他] [with him|同他] [to him|来见他] [on him|於他] [to him|在他身上] [to it|他] [for him|对於他] [him|于他] [him|耶稣] [it|於其上] [him|於他] [him|他一起] [him the|他] [to him|归他] [to him|它：] [to him|它] [his|他] [on him|他] [*to him|对他] [by him|对他] [with him|（跟）他] [him|他跟前] [him |他？] [him|向他] [him|他；] [him|他：] [will give to him|给他] [to him|对（他] [the same|同] [drawing near to him|他] [against him|向他] [to him|他；] [at him|他] [him and|他] [by him|他；] [him|在他] [same state of|同样] [to him|称  为] [him|他（耶稣] [him|看  给他] [to him|（讨）他] [it|他] [him|为他] [him|他  身上] [himself|他身上] [to him|属於他] [himself|他] [by him|他] [to him|给他的] [him|地] [to him|（为）他] [with him|（和）他] [him|他里面] [it|] [with him|他的] [to him|跟他] [against him|要害他] [him|身上 他] [to him|为他] [to him|叫他] [with him|与他] [for him|和他] [it|其上] [to him|他的（义] [him|与他] [to him|望他] [to him|归於他] [same|（一致的] [same|（同一] [to it|它] [same|（一同] [to him|他的] [Him|（基督] [him|（基督] [Him|他] [it|（这事] [to Him|他] [same rule|（同样的] [with Him|他] [it|（十字架] [same|] [to all|他] [To Him|他] [same|（同样] [to Him|（归他] [to him|（对他] [to it|] [Him|2316 神  --> check: 66- 6509]
Solution: Multiple glosses found for unicode Κύριε for UGNT morphId 400180260081	= [Lord|主啊] [Lord|主] [Master|主人] [Master|主啊] [Sir|主啊]
Solution: Multiple glosses found for unicode οὗ for UGNT morphId 400180300121	= [|] [where|所~的地方] [of whom|他的] [whom|他] [whatever|什么] [where|哪里] [which|的] [of whom|] [of which|它的] [of whom|於他] [where|地方] [where|那里] [of which|] [which|其] [whom|的] [for this reason|此] [where|的] [whom|者] [where|这坟墓] [which|] [where|所~的] [of whom|这人] [of whom|他] [whose|他的] [of whom|这人的] [of him of whom|那人的] [of which|这事的] [where|在那里] [of whom|者] [whose|这人] [of whom|属谁的] [where|这里] [whom|] [whom|这个人] [of whom|的] [there|在那里] [where|在哪里] [where|（那] [what|所] [|他] [which|（这] [wherever|那里] [of whom|所] [whom|（基督] [of which|这] [which|这] [where|那] [which|所] [whom|这] [who|他] [whose|那] [which|他] [which|（它] [by whose|他] [I|] [when|]
