420230340021	420230340041	δὲ	ἱμάτια
420230340031	420230340051	Ἰησοῦς	αὐτοῦ
420230340041	420230340061	ἔλεγεν	ἔβαλον
420230340051	420230340071	πάτερ	κλῆρον
420230420081	420230420081	εἰς	ἐν
420240460011	420240460011	καὶ	ὅτι
420240460021	420240460021	εἶπεν	οὕτως
420240460031	420240460031	αὐτοῖς	γέγραπται
420240460041	420240460041	ὅτι	παθεῖν
420240460051	420240460051	οὕτως	τὸν
420240460061	420240460061	γέγραπται	Χριστὸν
420240460071	420240460071	παθεῖν	καὶ
420240460081	420240460081	τὸν	ἀναστῆναι
420240460091	420240460091	χριστὸν	ἐκ
420240460101	420240460101	καὶ	νεκρῶν
420240460111	420240460111	ἀναστῆναι	τῇ
420240460121	420240460121	ἐκ	τρίτῃ
420240460131	420240460131	νεκρῶν	ἡμέρᾳ
430060230031	430060230031	πλοιά[ρια]	πλοῖα
430070080071	430070080071	οὐκ	οὔπω
430080030101	430080030091	μοιχείᾳ	ἁμαρτίᾳ
430080030111	430080030101	κατειλημμένην	γυναῖκα
430080040031	430080040031	διδάσκαλε	ἐκπειράζοντες
430080040041	430080040041	αὕτη	αὐτὸν
430080040061	430080040061	γυνὴ	ἱερεῖς
430080040071	430080040071	κατείληπται	ἵνα
430080040081	430080040081	ἐπ’	ἔχωσιν
430080040091	430080040091	αὐτοφώρῳ	κατηγορίαν
430080040101	430080040101	μοιχευομένη	αὐτοῦ
430080050051	430080050061	ἡμῖν	ἐκέλευσεν
430080050121	430080050111	οὖν	δὲ
430080060011	430080060011	τοῦτο	Ὁ
430080060031	430080060031	ἔλεγον	Ἰησοῦς
430080060041	430080060041	πειράζοντες	κάτω
430080060051	430080060051	αὐτόν	κύψας
430080060061	430080060061	ἵνα	τῷ
430080060071	430080060071	ἔχωσιν	δακτύλῳ
430080060081	430080060081	κατηγορεῖν	κατέγραφεν
430080060091	430080060091	αὐτοῦ	εἰς
430080060111	430080060111	δὲ	γῆν
430080080071	430080080051	γῆν	δακτύλῳ
430080090021	430080090041	δὲ	Ἰουδαίων
430080090051	430080090061	εἷς	ἀρξάμενοι
430080090061	430080090071	καθ’	ἀπὸ
430080090071	430080090081	εἷς	τῶν
430080090081	430080090091	ἀρξάμενοι	πρεσβυτέρων
430080090091	430080090101	ἀπὸ	ὥστε
430080090101	430080090111	τῶν	πάντας
430080090111	430080090121	πρεσβυτέρων	ἐξελθεῖν
430080100061	430080100061	αὐτῇ	τῇ
430080110011	430080110011	ἡ	Κἀκείνη
430080110091	430080110071	Ἰησοῦς	δὲ
430080110141	430080110131	πορεύου	ὕπαγε
430130250011	430130250011	ἀναπεσὼν	ἐπιπεσών
430130320011	430130320011	εἰ	καὶ
430130320081	430130320091	ὁ	εὐθὺς
430140100181	430140100181	λέγω	λαλῶ
430150100171	430150100151	μου	τὰς
430180160151	430180160151	ὁ	ὅς
430190160091	430190160091	οὖν	δὲ
430190260161	430190260161	ἴδε	ἰδοὺ
440010110081	440010110081	[ἐμ]βλέποντες	βλέποντες
440010150201	440010150201	ὡσεὶ	ὡς
440020050031	440020050031	εἰς	ἐν
440030190051	440030190051	εἰς	πρὸς
440040250131	440040250131	ἱνατί	ἵνα
440040320241	440040320241	ἅπαντα	πάντα
440040370101	440040370101	πρὸς	παρὰ
440050120181	440050120181	ἅπαντες	πάντες
440070260171	440070260171	ἱνατί	ἱνα
440090210131	440090210131	εἰς	ἐν
440130110181	440130110181	τε	δὲ
440130140131	440130140131	[εἰσ]ελθόντες	ἐλθόντες
440130520021	440130520021	τε	δὲ
440140140111	440140140111	αὐτῶν	ἑαυτῶν
440150040041	440150040041	Ἰερουσαλὴμ	Ἱεροσόλυμα
440150040061	440150040061	ἀπὸ	ὑπὸ
440150060021	440150060021	τε	δὲ
440150160131	440150160131	κατεσκαμμένα	κατεστραμμένα
440160280051	440160280041	ὁ	μεγάλῃ
440180230131	440180230131	ἐπιστηρίζων	στηρίζων
440200050031	440200050031	προελθόντες	προσελθόντες
440200060211	440200060211	ὅπου	οὗ
440200300141	440200300141	αὐτῶν	ἑαυτῶν
440210230131	440210230131	ἐφ’	ἀφ
440230070041	440230070041	εἰπόντος	λαλοῦντος
440230180201	440230180201	νεανίσκον	νεανίαν
440250140181	440250140181	τίς	τὶς
440260290271	440260290271	καὶ	κἀγὼ
450070170091	450070170091	οἰκοῦσα	ἐνοικοῦσα
450080240141	450080240141	τίς	τις
450080280131	450080280111	κατὰ	Θεὸς
450080280141	450080280121	πρόθεσιν	εἰς
450080280151	450080280131	κλητοῖς	ἀγαθόν
450080280161	450080280141	οὖσιν	τοῖς
450150230181	450150230181	πολλῶν	ἱκανῶν
460010020051	460010020051	τῇ	ἡγιασμένοις
460010020081	460010020071	Κορίνθῳ	Χριστῷ
460010020091	460010020081	ἡγιασμένοις	Ἰησοῦ
460010020111	460010020121	Χριστῷ	Κορίνθῳ
460020100021	460020100021	δὲ	γὰρ
460050020181	460050020181	πράξας	ποιήσας
460070340011	460070340011	καὶ	μεριμνᾷ
460070340071	460070340041	ἄγαμος	Κυρίου
460070340081	460070340051	καὶ	ἵνα
460070340091	460070340061	ἡ	ᾖ
460070340101	460070340071	παρθένος	ἁγία
460070340111	460070340081	μεριμνᾷ	καὶ
460070340141	460070340131	κυρίου	πνεύματι
460070340151	460070340141	ἵνα	ἡ
460070340161	460070340151	ᾖ	δὲ
460070340171	460070340161	ἁγία	γαμήσασα
460070340181	460070340171	καὶ	μεριμνᾷ
460070340231	460070340201	πνεύματι	κόσμου
460070340251	460070340241	δὲ	ἀνδρί
460100090041	460100090041	Χριστόν	Κύριον
460100290111	460100290111	ἱνατί	ἵνα
460150530011	460150530011	Δεῖ	δεῖ
460160100171	460160100171	κἀγώ	ἐγὼ
