400020030091	Ἱεροσόλυμα	Ἱεροσόλυμα
400020040151	χριστὸς	Χριστός
400020050061	Βηθλέεμ	Βηθλέεμ
400020050081	Ἰουδαίας	Ἰουδαία
400020060031	Βηθλέεμ	Βηθλέεμ
400020060051	Ἰούδα	Ἰούδας
400020060121	Ἰούδα	Ἰούδας
400020060241	Ἰσραήλ	Ἰσραήλ
400020070021	Ἡρῴδης	Ἡρῴδης
400020080051	Βηθλέεμ	Βηθλέεμ
400020110101	Μαρίας	Μαρία
400020120081	Ἡρῴδην	Ἡρῴδης
400020130111	Ἰωσὴφ	Ἰωσήφ
400020130241	Αἴγυπτον	Αἴγυπτος
400020130341	Ἡρῴδης	Ἡρῴδης
400020140151	Αἴγυπτον	Αἴγυπτος
400020150071	Ἡρῴδου	Ἡρῴδης
400020150191	Αἰγύπτου	Αἴγυπτος
400020160021	Ἡρῴδης	Ἡρῴδης
400020160191	Βηθλέεμ	Βηθλέεμ
400020170061	Ἰερεμίου	Ἰερεμίας
400020180031	Ῥαμὰ	Ῥαμά
400020180091	Ῥαχὴλ	Ῥαχήλ
400020190041	Ἡρῴδου	Ἡρῴδης
400020190121	Ἰωσὴφ	Ἰωσήφ
400020190141	Αἰγύπτῳ	Αἴγυπτος
400020200141	Ἰσραήλ	Ἰσραήλ
400020210151	Ἰσραήλ	Ἰσραήλ
400020220041	Ἀρχέλαος	Ἀρχέλαος
400020220071	Ἰουδαίας	Ἰουδαία
400020220121	Ἡρῴδου	Ἡρῴδης
400020220251	Γαλιλαίας	Γαλιλαία
400020230071	Ναζαρέτ	Ναζαρέτ
400020230161	Ναζωραῖος	Ναζωραῖος
400030010071	Ἰωάννης	Ἰωάννης
400030010151	Ἰουδαίας	Ἰουδαία
400030030071	Ἠσαΐου	Ἠσαΐας
400030040041	Ἰωάννης	Ἰωάννης
400030050051	Ἱεροσόλυμα	Ἱεροσόλυμα
400030050091	Ἰουδαία	Ἰουδαία
400030050151	Ἰορδάνου	Ἰορδάνης
400030060051	Ἰορδάνῃ	Ἰορδάνης
400030070051	Φαρισαίων	Φαρισαῖος
400030070071	Σαδδουκαίων	Σαδδουκαῖος
400030090101	Ἀβραάμ	Ἀβραάμ
400030090251	Ἀβραάμ	Ἀβραάμ
400030130041	Ἰησοῦς	Ἰησοῦς
400030130071	Γαλιλαίας	Γαλιλαία
400030130101	Ἰορδάνην	Ἰορδάνης
400030130131	Ἰωάννην	Ἰωάννης
400030140031	Ἰωάννης	Ἰωάννης
400030150041	Ἰησοῦς	Ἰησοῦς
400030160041	Ἰησοῦς	Ἰησοῦς
400040010031	Ἰησοῦς	Ἰησοῦς
400040070041	Ἰησοῦς	Ἰησοῦς
400040100051	Ἰησοῦς	Ἰησοῦς
400040100071	σατανᾶ	Σατανᾶς
400040120041	Ἰωάννης	Ἰωάννης
400040120091	Γαλιλαίαν	Γαλιλαία
400040130041	Ναζαρὰ	Ναζαρά
400040130081	Καφαρναοὺμ	Καφαρναούμ
400040130131	Ζαβουλὼν	Ζαβουλών
400040130151	Νεφθαλίμ	Νεφθαλίμ
400040140061	Ἠσαΐου	Ἠσαΐας
400040150021	Ζαβουλὼν	Ζαβουλών
400040150051	Νεφθαλίμ	Νεφθαλίμ
400040150101	Ἰορδάνου	Ἰορδάνης
400040150111	Γαλιλαία	Γαλιλαία
400040170051	Ἰησοῦς	Ἰησοῦς
400040180071	Γαλιλαίας	Γαλιλαία
400040180111	Σίμωνα	Σίμων
400040180141	Πέτρον	Πέτρος
400040180161	Ἀνδρέαν	Ἀνδρέας
400040210081	Ἰάκωβον	Ἰάκωβος
400040210111	Ζεβεδαίου	Ζεβεδαῖος
400040210131	Ἰωάννην	Ἰωάννης
400040210211	Ζεβεδαίου	Ζεβεδαῖος
400040230061	Γαλιλαίᾳ	Γαλιλαία
400040240091	Συρίαν	Συρία
400040250081	Γαλιλαίας	Γαλιλαία
400040250101	Δεκαπόλεως	Δεκάπολις
400040250121	Ἱεροσολύμων	Ἱεροσόλυμα
400040250141	Ἰουδαίας	Ἰουδαία
400040250181	Ἰορδάνου	Ἰορδάνης
400050200151	Φαρισαίων	Φαρισαῖος
400050350131	Ἱεροσόλυμα	Ἱεροσόλυμα
400060290061	Σολομὼν	Σολομών
400070280061	Ἰησοῦς	Ἰησοῦς
400080040051	Ἰησοῦς	Ἰησοῦς
400080040211	Μωϋσῆς	Μωϋσῆς
400080050051	Καφαρναοὺμ	Καφαρναούμ
400080100041	Ἰησοῦς	Ἰησοῦς
400080100191	Ἰσραὴλ	Ἰσραήλ
400080110141	Ἀβραὰμ	Ἀβραάμ
400080110161	Ἰσαὰκ	Ἰσαάκ
400080110181	Ἰακὼβ	Ἰακώβ
400080130041	Ἰησοῦς	Ἰησοῦς
400080140041	Ἰησοῦς	Ἰησοῦς
400080140081	Πέτρου	Πέτρος
400080170061	Ἠσαΐου	Ἠσαΐας
400080180041	Ἰησοῦς	Ἰησοῦς
400080200051	Ἰησοῦς	Ἰησοῦς
400080220031	Ἰησοῦς	Ἰησοῦς
400080280111	Γαδαρηνῶν	Γαδαρηνός
400080340101	Ἰησοῦ	Ἰησοῦς
400090020121	Ἰησοῦς	Ἰησοῦς
400090040041	Ἰησοῦς	Ἰησοῦς
400090090041	Ἰησοῦς	Ἰησοῦς
400090090121	Μαθθαῖον	Μαθθαῖος
400090100171	Ἰησοῦ	Ἰησοῦς
400090110041	Φαρισαῖοι	Φαρισαῖος
400090140061	Ἰωάννου	Ἰωάννης
400090140131	Φαρισαῖοι	Φαρισαῖος
400090150051	Ἰησοῦς	Ἰησοῦς
400090190041	Ἰησοῦς	Ἰησοῦς
400090220031	Ἰησοῦς	Ἰησοῦς
400090230041	Ἰησοῦς	Ἰησοῦς
400090270051	Ἰησοῦ	Ἰησοῦς
400090270161	Δαυίδ	Δαυίδ
400090280141	Ἰησοῦς	Ἰησοῦς
400090300101	Ἰησοῦς	Ἰησοῦς
400090330181	Ἰσραήλ	Ἰσραήλ
400090340031	Φαρισαῖοι	Φαρισαῖος
400090350041	Ἰησοῦς	Ἰησοῦς
400100020101	Σίμων	Σίμων
400100020131	Πέτρος	Πέτρος
400100020151	Ἀνδρέας	Ἀνδρέας
400100020201	Ἰάκωβος	Ἰάκωβος
400100020231	Ζεβεδαίου	Ζεβεδαῖος
400100020251	Ἰωάννης	Ἰωάννης
400100030011	Φίλιππος	Φίλιππος
